sample_id,arch_code,sample_node,energy
191,"[0, 1, 1, 1, 1, 0, 1, 4, 5, 2, 3, 2]",random,-0.8356166574648711
192,"[1, 0, 1, 0, 0, 0, 3, 5, 5, 1, 1, 2]",random,-0.531059372392707
193,"[1, 0, 0, 0, 1, 0, 1, 2, 4, 4, 5, 3]",random,-0.4265379097079412
194,"[1, 0, 1, 1, 0, 0, 1, 4, 0, 4, 0, 0]",random,-1.1699915316801173
195,"[0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 5, 1]",random,-0.9390482729752311
196,"[1, 0, 1, 1, 0, 0, 5, 0, 1, 2, 5, 1]",random,-0.4192131815163426
197,"[0, 0, 1, 1, 1, 0, 1, 4, 4, 1, 0, 3]",random,-1.1001057120379762
198,"[1, 0, 0, 0, 0, 1, 1, 3, 4, 5, 2, 2]",random,-0.5470020860084832
199,"[1, 1, 0, 1, 0, 1, 1, 0, 3, 4, 1, 2]",random,-1.0847359442902993
200,"[0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 4]",random,-1.007021831635733
201,"[1, 0, 0, 0, 1, 0, 2, 0, 4, 1, 0, 1]",25,-1.053171614900506
202,"[1, 1, 1, 0, 1, 0, 2, 0, 4, 0, 0, 2]",25,-1.232374986972711
203,"[1, 1, 1, 0, 1, 0, 1, 0, 3, 0, 2, 3]",25,-0.7273777755815128
204,"[0, 0, 0, 0, 1, 0, 1, 0, 3, 1, 2, 2]",25,-0.9928186597190339
205,"[1, 0, 0, 0, 1, 1, 1, 3, 4, 1, 2, 1]",25,0.06397372188867216
206,"[1, 1, 0, 0, 0, 1, 1, 2, 5, 1, 3, 3]",25,-0.46269204023219823
207,"[1, 0, 0, 0, 1, 0, 1, 0, 4, 1, 2, 3]",25,-0.8656445679688639
208,"[1, 1, 1, 0, 1, 1, 2, 0, 3, 1, 1, 2]",25,-1.0544300153312258
209,"[1, 1, 1, 0, 1, 0, 3, 0, 3, 2, 0, 2]",25,-0.5912291292612835
210,"[1, 1, 1, 0, 0, 0, 1, 0, 3, 1, 1, 2]",25,-0.1742422629154979
211,"[1, 1, 0, 0, 1, 0, 2, 0, 4, 1, 0, 2]",25,-1.1484656154193904
212,"[1, 1, 1, 0, 1, 0, 1, 0, 4, 1, 1, 3]",25,-1.042222806552974
213,"[1, 0, 0, 0, 1, 0, 1, 2, 5, 0, 0, 0]",25,-0.205947373112268
214,"[0, 1, 0, 0, 0, 0, 1, 0, 4, 2, 3, 3]",25,-0.7798220239870538
215,"[1, 1, 0, 0, 1, 1, 3, 0, 3, 1, 1, 3]",25,-0.9070172362010166
216,"[1, 0, 0, 0, 1, 0, 2, 0, 5, 1, 2, 3]",25,-0.8385627360666204
217,"[1, 1, 1, 0, 0, 1, 4, 0, 4, 2, 3, 4]",25,-0.7156147974415158
218,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 3]",25,0.05591865336988415
219,"[1, 1, 1, 0, 1, 1, 4, 2, 4, 1, 3, 4]",25,-0.7720662816934725
220,"[1, 1, 1, 0, 0, 0, 2, 0, 3, 4, 3, 3]",25,-1.2786851522712512
221,"[1, 1, 1, 0, 1, 0, 1, 2, 3, 0, 0, 2]",25,-1.1374262220065365
222,"[1, 1, 1, 0, 1, 0, 2, 2, 4, 1, 1, 2]",25,-1.063316182171252
223,"[0, 1, 0, 0, 0, 0, 3, 0, 3, 2, 3, 4]",25,-0.7277179144243001
224,"[1, 1, 1, 0, 1, 0, 1, 3, 5, 0, 1, 2]",25,-0.8848613301444785
225,"[0, 1, 1, 0, 1, 0, 2, 2, 3, 1, 1, 1]",25,-1.2334818325164214
226,"[1, 1, 1, 0, 1, 0, 1, 0, 3, 1, 2, 4]",25,-0.9411399299054918
227,"[1, 1, 1, 0, 0, 1, 1, 4, 4, 2, 5, 4]",25,-0.6710340064667902
228,"[1, 0, 0, 0, 1, 1, 1, 0, 4, 1, 2, 2]",25,-0.6769712188153284
229,"[1, 1, 1, 0, 1, 0, 1, 3, 4, 0, 1, 2]",25,0.08835702327757976
230,"[0, 0, 1, 0, 0, 1, 1, 0, 3, 2, 5, 4]",25,-0.8532051679205084
231,"[1, 1, 0, 0, 0, 1, 2, 0, 3, 1, 0, 1]",25,-0.7446277699175096
232,"[1, 1, 1, 0, 1, 1, 1, 2, 3, 0, 1, 2]",25,-1.2000192326278325
233,"[1, 1, 1, 0, 1, 1, 2, 2, 4, 0, 2, 3]",25,-0.17345454364865764
234,"[1, 1, 0, 0, 1, 1, 2, 2, 3, 0, 0, 1]",25,-0.21235144176441187
235,"[1, 0, 1, 0, 1, 0, 2, 0, 3, 2, 1, 2]",25,-0.7616308636490557
236,"[0, 1, 1, 0, 1, 0, 2, 0, 4, 0, 1, 2]",25,-0.45316328992238697
237,"[0, 1, 1, 0, 1, 0, 1, 4, 4, 0, 3, 3]",25,-0.8515220509262681
238,"[0, 1, 1, 0, 0, 1, 1, 4, 4, 1, 5, 3]",25,-0.9274826085204477
239,"[1, 0, 1, 0, 1, 0, 2, 2, 3, 2, 2, 2]",25,-0.48508559738428875
240,"[1, 1, 1, 0, 1, 0, 1, 4, 3, 2, 3, 4]",25,-0.5463552872690014
241,"[0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 1]",25,-0.9200180187023209
242,"[0, 1, 0, 0, 1, 0, 1, 0, 3, 1, 1, 2]",25,-0.6249337235921081
243,"[1, 1, 0, 0, 1, 0, 2, 2, 3, 2, 2, 3]",25,-0.6462520068371506
244,"[1, 1, 1, 0, 0, 0, 2, 2, 4, 2, 2, 2]",25,-1.0316368254841135
245,"[1, 1, 1, 0, 0, 0, 2, 2, 3, 2, 1, 2]",25,-1.1507167548560837
246,"[1, 1, 0, 0, 0, 0, 1, 0, 3, 2, 1, 3]",25,-0.8589196154979005
247,"[1, 1, 1, 0, 1, 1, 2, 0, 3, 0, 0, 2]",25,-0.5543236598503232
248,"[1, 1, 0, 0, 1, 1, 2, 2, 4, 1, 3, 4]",25,-0.8454170667971633
249,"[0, 1, 1, 0, 1, 0, 3, 2, 3, 1, 3, 4]",25,-0.6224102312337033
250,"[1, 1, 1, 0, 1, 1, 1, 2, 4, 0, 1, 2]",25,-0.8849367981087836
251,"[0, 1, 1, 1, 0, 1, 2, 0, 4, 5, 2, 0]",0,-0.996212684979067
252,"[0, 1, 1, 1, 1, 1, 3, 5, 3, 4, 2, 0]",0,-0.760230545849565
253,"[0, 0, 0, 1, 0, 0, 5, 2, 0, 5, 0, 0]",8,-1.2561621994276957
254,"[0, 0, 1, 1, 0, 0, 2, 4, 0, 4, 3, 1]",8,-0.6400447684197916
255,"[0, 1, 1, 1, 1, 1, 3, 0, 4, 2, 2, 0]",0,-1.0798461168447355
256,"[0, 0, 1, 1, 0, 1, 2, 5, 1, 5, 5, 1]",8,-0.6184386797975305
257,"[0, 1, 1, 1, 1, 0, 1, 3, 1, 5, 2, 0]",8,-0.6626453203180346
258,"[1, 0, 0, 1, 1, 1, 2, 0, 3, 4, 0, 0]",0,-1.2182513993567559
259,"[0, 1, 1, 1, 0, 1, 3, 0, 5, 4, 5, 2]",0,-1.1736662677687308
260,"[0, 1, 1, 1, 1, 1, 3, 2, 5, 5, 5, 1]",0,-1.2139854901412244
261,"[1, 0, 1, 1, 1, 0, 1, 2, 4, 5, 0, 0]",8,-0.8481855686907014
262,"[0, 0, 1, 1, 0, 1, 1, 3, 1, 5, 3, 1]",8,-0.693923809557602
263,"[1, 1, 0, 1, 1, 1, 4, 0, 5, 0, 5, 2]",0,-1.1759132519804252
264,"[0, 1, 0, 0, 0, 1, 5, 0, 4, 1, 5, 2]",0,-0.8533644837516384
265,"[1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 3, 0]",8,-0.9687383287377134
266,"[1, 1, 1, 1, 1, 0, 2, 0, 4, 4, 3, 0]",0,-0.6110004318384513
267,"[0, 1, 1, 0, 0, 0, 5, 0, 4, 4, 5, 2]",0,-0.6942578853006494
268,"[0, 0, 1, 1, 0, 0, 2, 3, 0, 4, 3, 0]",8,-1.0725619758029485
